season,gsis_id,pfr_id,team
2023,00-0035147,FentRa00,ARI
2023,00-0035148,ThomDa06,LV
2023,00-0035166,AlShAz00,TEN
2023,00-0035181,ShepDa00,LAC
2023,00-0035184,OzigDe01,DET
2023,00-0035187,WaltAu00,LV
2023,00-0035217,SnelBe00,DET
2023,00-0035222,GentZa00,LV
2023,00-0035223,GilbUl00,TB
2023,00-0035228,MurrKy00,ARI
2023,00-0035229,HockTJ00,MIN
2023,00-0035236,MurpBy00,MIN
2023,00-0035239,BuntSe00,TEN
2023,00-0035240,TavaJa00,NE
2023,00-0035241,WillJo13,MIN
2023,00-0035243,SandMi01,CAR
2023,00-0035363,GileJo01,NE
2023,00-0035378,WingAn01,JAX
2023,00-0035386,EdwaTJ02,CHI
2023,00-0035632,HookAm00,TEN
2023,00-0035639,CampPa00,NYG
2023,00-0035640,MetcDK00,SEA
2023,00-0035642,AlleJo03,JAX
2023,00-0035643,SimmJe01,TEN
2023,00-0035644,FantNo00,SEA
2023,00-0035645,OlszGu00,NYG
2023,00-0035647,SweaMo00,CHI
2023,00-0035654,WinoCh00,MIA
2023,00-0035656,SaunKh00,NO
2023,00-0035659,McLaTe00,WAS
2023,00-0035662,BrowMa04,ARI
2023,00-0035664,HendDa00,LA
2023,00-0035669,ScotNi01,CIN
2023,00-0035671,SterJa00,BUF
2023,00-0035672,BartCo00,WAS
2023,00-0035674,TillJe00,LV
2023,00-0035678,JoneDr00,SEA
2023,00-0035680,WillQu01,NYJ
2023,00-0035683,LawrDe03,NYG
2023,00-0035687,OkerBo00,NYG
2023,00-0035693,AbraJo01,NO
2023,00-0035697,PratGe00,CIN
2023,00-0035700,JacoJo01,LV
2023,00-0035704,LockDr00,SEA
2023,00-0035705,ThomJa04,ARI
2023,00-0035636,CollLJ00,ARI
2023,00-0035631,SampDr00,CIN
2023,00-0035399,MorgSt02,CIN
2023,00-0035628,JohnDE04,JAX
2023,00-0035402,GranCa01,NO
2023,00-0035406,HumpLi01,DEN
2023,00-0035409,TuttSh00,CAR
2023,00-0035413,GiffLu00,TEN
2023,00-0035414,GuytJa01,LAC
2023,00-0035455,HuggAl01,ATL
2023,00-0035457,JohnTy03,DAL
2023,00-0035480,TaylMa01,NYJ
2023,00-0035500,DortGr01,ARI
2023,00-0035507,PhilKy00,NO
2023,00-0035510,SmitJe03,ARI
2023,00-0035519,MackIs00,WAS
2023,00-0035525,BushDe01,SEA
2023,00-0035529,ButlHa00,PIT
2023,00-0035533,ConnRy00,NO
2023,00-0035534,TellMa00,CIN
2023,00-0035535,SlayDa01,NYG
2023,00-0035541,DogbMi00,MIN
2023,00-0035589,JennGa00,CAR
2023,00-0035591,HollJu00,LAC
2023,00-0035593,WinfJu00,IND
2023,00-0035594,HomeTr00,CHI
2023,00-0035603,BlanKe01,KC
2023,00-0035621,WebsNs00,CHI
2023,00-0035624,HarrNK00,MIN
2023,00-0035021,DuliAs00,IND
2023,00-0034993,EppsMa00,LV
2023,00-0035710,JoneDa05,NYG
2023,00-0034413,OluoFo00,JAX
2023,00-0034365,ThomIa00,CAR
2023,00-0034366,CoutKe00,MIA
2023,00-0034368,JeweJo00,DEN
2023,00-0034374,WhitJo03,NYJ
2023,00-0034375,WhitKy00,ARI
2023,00-0034382,HaynMa01,CAR
2023,00-0034384,ReedD.00,NYJ
2023,00-0034385,BentJa00,NE
2023,00-0034387,NichBi00,LV
2023,00-0034389,CruiDa00,TEN
2023,00-0034393,FumaTr00,MIN
2023,00-0034400,WilkJo01,CLE
2023,00-0034420,ThomJo05,CAR
2023,00-0034988,SmitKa00,WAS
2023,00-0034426,WimsJa00,CAR
2023,00-0034430,SmitAn04,ATL
2023,00-0034431,FranZa00,IND
2023,00-0034433,BawdNi00,NYJ
2023,00-0034437,CookLo00,JAX
2023,00-0034438,WoodLo00,ATL
2023,00-0034446,DaviJa06,CIN
2023,00-0034461,HectBr00,NYJ
2023,00-0034465,ReavJe00,WAS
2023,00-0034490,TurnZe00,ARI
2023,00-0034496,ChanSe00,WAS
2023,00-0034500,DaviTa00,CAR
2023,00-0034360,CartLo01,ATL
2023,00-0034359,LewiTy00,IND
2023,00-0034356,JackDo02,CAR
2023,00-0034354,TuraKe00,ATL
2023,00-0034162,ScotJK00,LAC
2023,00-0034163,MartJa02,IND
2023,00-0034185,LancTy00,DEN
2023,00-0034203,WillDa09,JAX
2023,00-0034208,BoonMi00,CAR
2023,00-0034263,MoorTa00,GB
2023,00-0034264,HolmJa01,NYJ
2023,00-0034265,AverAn00,DET
2023,00-0034270,IzzoRy00,NYJ
2023,00-0034275,FatuFo00,JAX
2023,00-0034278,SmitTr04,DEN
2023,00-0034279,St.BEq00,CHI
2023,00-0034296,NiemBe00,DEN
2023,00-0034297,PrinBy00,WAS
2023,00-0034301,WillDa10,NO
2023,00-0034302,LuvuFr00,CAR
2023,00-0034317,KirkKe00,NO
2023,00-0034320,StreKe00,ATL
2023,00-0034333,PaynDa00,WAS
2023,00-0034334,ApkeTr00,WAS
2023,00-0034337,StroGr00,CHI
2023,00-0034339,QuinTr00,DET
2023,00-0034344,DaveMa00,MIN
2023,00-0034348,SuttCo00,DEN
2023,00-0034350,NwosUc00,SEA
2023,00-0034516,HernTr00,JAX
2023,00-0034521,LazaAl00,NYJ
2023,00-0034545,FacyBr00,LV
2023,00-0034816,JoneRo01,DAL
2023,00-0034827,MoorD.00,CHI
2023,00-0034828,LandHa00,TEN
2023,00-0034829,GesiMi00,NE
2023,00-0034830,HursHa00,CAR
2023,00-0034831,GreeRa01,CHI
2023,00-0034834,HubbSa00,CIN
2023,00-0034837,RidlCa00,JAX
2023,00-0034842,BryaTa00,IND
2023,00-0034843,HughMi00,ATL
2023,00-0034844,BarkSa00,NYG
2023,00-0034854,HodgKh00,ATL
2023,00-0034858,EdmuTe00,TEN
2023,00-0034860,PettDa00,CHI
2023,00-0034867,TurnMa00,IND
2023,00-0034930,BensTr00,CLE
2023,00-0034960,MeyeJa01,LV
2023,00-0034969,BanoBe00,DAL
2023,00-0034970,SmitIr01,CIN
2023,00-0034971,HurdJa00,NE
2023,00-0034972,MattAl01,MIN
2023,00-0034973,CrosMa00,LV
2023,00-0034974,LoveJu00,SEA
2023,00-0034981,MoreFo00,NO
2023,00-0034983,RenfHu00,LV
2023,00-0034987,SpeeEJ00,IND
2023,00-0034825,KeyxAr00,TEN
2023,00-0034812,HowaTr00,BUF
2023,00-0034593,LacyCh00,LV
2023,00-0034805,FranJo02,NYJ
2023,00-0034631,SmitVy00,IND
2023,00-0034646,PoweBr00,MIN
2023,00-0034673,EdmuTr01,CHI
2023,00-0034675,BateJe00,ATL
2023,00-0034676,WashJa00,IND
2023,00-0034677,JoneJu03,CHI
2023,00-0034682,AverGe00,IND
2023,00-0034683,PhilDa02,TEN
2023,00-0034720,SpilRo00,LV
2023,00-0034726,LeavDa00,DEN
2023,00-0034743,EvanRa01,DAL
2023,00-0034747,AtemMa00,BUF
2023,00-0034756,FlowTr01,ATL
2023,00-0034760,ShepNa00,NO
2023,00-0034765,SmitTr03,DEN
2023,00-0034774,SpeaBr00,SF
2023,00-0034775,KirkCh01,JAX
2023,00-0034777,CharDJ00,CAR
2023,00-0034779,HarrRo02,IND
2023,00-0034780,YiadIs00,NO
2023,00-0034782,PhilHa00,MIN
2023,00-0034787,BoarCh00,NE
2023,00-0034790,JameDe00,LAC
2023,00-0034792,ArmsCo00,LV
2023,00-0034800,HillB.00,CIN
2023,00-0035708,XimiOs00,NYG
2023,00-0035713,BurnBr00,CAR
2023,00-0036884,WilsMa04,NE
2023,00-0036568,LopeRo00,ARI
2023,00-0036507,DwumMi00,CHI
2023,00-0036510,YeboKe00,NYJ
2023,00-0036511,EiflMi00,ATL
2023,00-0036517,RashHa00,SEA
